Age,Gender,Marital_Status,Attrition,Attrition_Flag,Business_Travel,Department,Education_Level,Education_Field,Daily_Rate,Hourly_Rate,Monthly_Income,Monthly_Rate,Percent_Salary_Hike,Stock_Option_Level,Job_Role,Job_Level,Job_Involvement,Overtime,Environment_Satisfaction,Job_Satisfaction,Relationship_Satisfaction,Work_Life_Balance,Performance_Rating,Total_Working_Years,Num_Companies_Worked,Training_Times_Last_Year,Years_At_Company,Years_In_Current_Role,Years_Since_Last_Promotion,Years_With_Current_Manager,Distance_From_Home,Age_Group,Income_Bracket,Tenure_Group
31,Male,Single,Yes,1,Travel_Frequently,"Research & Development",College,Medical,307,71,3479,11652,11,0,"Laboratory Technician",1,Medium,No,High,Medium,Medium,Best,Excellent,6,0,2,5,4,1,4,29,"Early Career","Mid Income","Early Tenure"
32,Male,Married,No,0,Travel_Frequently,"Research & Development",Bachelor,"Life Sciences",1311,100,2794,26062,20,0,"Laboratory Technician",1,"Very High",No,Medium,Medium,High,Bad,Outstanding,5,1,3,5,1,0,3,7,"Early Career","Low Income","Early Tenure"
38,Male,Married,No,0,Non-Travel,Sales,College,"Life Sciences",1327,39,5249,19682,18,1,"Sales Executive",2,Medium,No,"Very High","Very High","Very High",Better,Excellent,13,3,0,8,7,7,5,2,"Mid Career","Mid Income",Experienced
32,Male,Single,No,0,Travel_Rarely,"Research & Development","Below College","Technical Degree",128,84,2176,19737,13,0,"Laboratory Technician",2,Medium,No,"Very High",Low,"Very High",Better,Excellent,9,4,5,6,2,0,4,2,"Early Career","Low Income",Experienced
46,Female,Married,No,0,Travel_Rarely,Sales,Bachelor,"Technical Degree",488,75,16872,14977,12,1,Manager,4,Low,Yes,High,Medium,Medium,Good,Excellent,28,3,2,7,7,7,7,2,"Senior Employee","High Income",Experienced
28,Male,Single,Yes,1,Travel_Rarely,"Research & Development",Master,"Life Sciences",529,79,3485,14935,11,0,"Laboratory Technician",1,High,No,Low,High,High,Bad,Excellent,5,2,5,0,0,0,0,2,"Early Career","Mid Income","New Employee"
29,Male,Married,No,0,Travel_Rarely,Sales,Bachelor,Medical,1210,78,6644,3687,19,2,"Sales Executive",2,Medium,No,Low,Medium,Medium,Better,Excellent,10,2,2,0,0,0,0,2,"Early Career","Mid Income","New Employee"
31,Male,Married,No,0,Travel_Rarely,"Research & Development",Bachelor,Medical,1463,64,5582,14408,21,1,"Healthcare Representative",2,Medium,No,Medium,"Very High",Medium,Better,Outstanding,10,0,2,9,0,7,8,23,"Early Career","Mid Income",Experienced
25,Male,Divorced,No,0,Non-Travel,"Research & Development",College,"Life Sciences",675,85,4000,18384,12,2,"Healthcare Representative",2,"Very High",No,Medium,Low,"Very High",Better,Excellent,6,1,2,6,3,1,5,5,"Young Adult","Mid Income",Experienced
45,Male,Married,No,0,Travel_Rarely,"Research & Development",College,Medical,1385,79,13496,7501,14,0,"Healthcare Representative",4,High,Yes,High,"Very High",Medium,Better,Excellent,21,0,2,20,7,4,10,20,"Mid Career","High Income",Veteran
36,Male,Married,No,0,Travel_Rarely,"Research & Development",Bachelor,"Life Sciences",1403,47,3210,20251,11,1,"Laboratory Technician",1,High,No,"Very High","Very High",High,Better,Excellent,16,0,4,15,13,10,11,6,"Mid Career","Mid Income",Veteran
55,Male,Single,No,0,Travel_Rarely,"Research & Development",Bachelor,Medical,452,81,19045,18938,14,0,Manager,5,High,Yes,"Very High",Low,High,Better,Excellent,37,0,2,36,10,4,13,1,"Senior Employee","High Income",Veteran
47,Male,Married,Yes,1,Non-Travel,"Research & Development",Master,"Life Sciences",666,88,11849,10268,12,1,Manager,3,High,Yes,Low,Medium,"Very High",Good,Excellent,10,1,2,10,7,9,9,29,"Senior Employee","High Income",Experienced
28,Male,Married,No,0,Travel_Rarely,"Research & Development",Bachelor,Medical,1158,94,2070,2613,23,1,"Research Scientist",1,High,No,"Very High","Very High","Very High",Good,Outstanding,5,1,3,5,2,0,4,9,"Early Career","Low Income","Early Tenure"
37,Male,Married,No,0,Travel_Rarely,Sales,Master,Medical,228,98,6502,22825,14,1,"Sales Executive",2,High,No,High,"Very High",Medium,Best,Excellent,7,4,5,5,4,0,1,6,"Mid Career","Mid Income","Early Tenure"
21,Male,Single,No,0,Travel_Rarely,"Research & Development",College,Medical,996,100,3230,10531,17,0,"Research Scientist",1,Medium,No,"Very High",High,Low,Best,Excellent,3,1,4,3,2,1,0,3,"Young Adult","Mid Income","Early Tenure"
37,Female,Divorced,No,0,Non-Travel,"Research & Development",Master,Medical,728,80,13603,11677,18,2,"Research Director",3,High,Yes,Low,"Very High",Low,Better,Excellent,15,2,2,5,2,0,2,1,"Mid Career","High Income","Early Tenure"
35,Female,Divorced,No,0,Travel_Rarely,"Research & Development",Bachelor,"Life Sciences",1315,71,11996,19100,18,1,Manager,3,"Very High",No,Medium,Medium,Medium,Good,Excellent,10,7,6,7,7,6,2,22,"Early Career","High Income",Experienced
38,Female,Divorced,No,0,Travel_Rarely,Sales,College,Medical,322,44,5605,19191,24,1,"Sales Executive",2,"Very High",Yes,Low,Low,High,Better,Outstanding,8,1,3,8,0,7,7,7,"Mid Career","Mid Income",Experienced
26,Female,Divorced,No,0,Travel_Frequently,"Research & Development",Bachelor,"Life Sciences",1479,84,6397,26767,20,1,"Manufacturing Director",2,High,No,High,Medium,Low,Bad,Outstanding,6,1,6,6,5,1,4,1,"Early Career","Mid Income",Experienced
50,Male,Divorced,No,0,Travel_Rarely,"Research & Development","Below College","Life Sciences",797,96,19144,15815,14,2,"Research Director",5,High,No,Low,Medium,Low,Good,Excellent,28,3,4,10,4,1,6,4,"Senior Employee","High Income",Experienced
53,Male,Married,No,0,Travel_Rarely,"Research & Development",Master,Medical,1070,45,17584,21016,16,3,"Research Director",4,High,Yes,High,High,"Very High",Good,Excellent,21,3,5,5,3,1,3,3,"Senior Employee","High Income","Early Tenure"
42,Male,Married,No,0,Travel_Rarely,Sales,"Below College","Life Sciences",635,99,4907,24532,25,0,"Sales Executive",2,High,No,Medium,High,High,Better,Outstanding,20,1,3,20,16,11,6,1,"Mid Career","Mid Income",Veteran
29,Male,Single,No,0,Travel_Frequently,Sales,College,"Life Sciences",442,44,4554,20260,18,0,"Sales Executive",2,High,No,Medium,"Very High",Low,Good,Excellent,10,1,3,10,7,0,9,2,"Early Career","Mid Income",Experienced
55,Male,Married,No,0,Travel_Rarely,"Research & Development",College,"Technical Degree",147,37,5415,15972,19,1,"Laboratory Technician",2,High,Yes,Medium,"Very High","Very High",Better,Excellent,12,3,4,10,7,0,8,20,"Senior Employee","Mid Income",Experienced
26,Male,Married,No,0,Travel_Frequently,"Research & Development",College,Medical,496,60,4741,22722,13,1,"Healthcare Representative",2,High,Yes,Low,Low,High,Better,Excellent,5,1,3,5,3,3,3,11,"Early Career","Mid Income","Early Tenure"
37,Female,Single,No,0,Travel_Rarely,"Research & Development",Bachelor,"Life Sciences",1372,42,2115,15881,12,0,"Research Scientist",1,High,No,"Very High","Very High",Medium,Better,Excellent,17,1,3,17,12,5,7,1,"Mid Career","Low Income",Veteran
44,Male,Divorced,Yes,1,Travel_Frequently,"Research & Development",Bachelor,"Life Sciences",920,43,3161,19920,22,1,"Laboratory Technician",1,High,Yes,"Very High",High,"Very High",Bad,Outstanding,19,3,0,1,0,0,0,24,"Mid Career","Mid Income","New Employee"
38,Male,Divorced,No,0,Travel_Rarely,"Research & Development",Master,"Life Sciences",688,82,5745,18899,14,1,"Healthcare Representative",2,High,No,"Very High","Very High",Medium,Better,Excellent,10,9,2,2,2,1,2,23,"Mid Career","Mid Income","New Employee"
26,Male,Divorced,Yes,1,Travel_Rarely,"Research & Development",Master,Medical,1449,45,2373,14180,13,1,"Laboratory Technician",1,High,Yes,Low,Medium,"Very High",Better,Excellent,5,2,2,3,2,0,2,16,"Early Career","Low Income","Early Tenure"
28,Female,Single,No,0,Travel_Rarely,"Research & Development",College,"Life Sciences",1117,66,3310,4488,21,0,"Research Scientist",1,High,No,"Very High","Very High","Very High",Better,Outstanding,5,1,3,5,3,0,2,8,"Early Career","Mid Income","Early Tenure"
49,Female,Single,No,0,Travel_Frequently,"Research & Development",Master,"Life Sciences",636,35,18665,25594,11,0,"Research Director",5,High,Yes,High,Low,"Very High",Better,Excellent,22,9,4,3,2,1,2,10,"Senior Employee","High Income","Early Tenure"
36,Male,Single,No,0,Travel_Rarely,"Research & Development",Bachelor,"Technical Degree",506,30,4485,26285,12,0,"Research Scientist",2,High,No,High,Medium,"Very High",Better,Excellent,10,4,2,8,0,7,7,3,"Mid Career","Mid Income",Experienced
31,Female,Divorced,No,0,Travel_Frequently,Sales,Bachelor,Marketing,444,84,2789,3909,11,1,"Sales Representative",1,High,No,"Very High",Medium,High,Good,Excellent,2,1,5,2,2,2,2,5,"Early Career","Low Income","New Employee"
26,Male,Single,Yes,1,Travel_Rarely,Sales,Master,Marketing,950,48,5828,8450,12,0,"Sales Executive",2,Medium,Yes,"Very High","Very High",Medium,Better,Excellent,8,1,0,8,7,7,4,4,"Early Career","Mid Income",Experienced
37,Male,Married,No,0,Travel_Frequently,"Research & Development",Bachelor,Medical,889,53,2326,11411,12,3,"Research Scientist",1,High,Yes,Medium,"Very High",High,Good,Excellent,4,1,3,4,2,1,2,9,"Mid Career","Low Income","Early Tenure"
42,Female,Married,No,0,Travel_Frequently,Sales,Bachelor,Marketing,555,77,13525,14864,14,1,"Sales Executive",4,High,No,High,Medium,"Very High",Best,Excellent,23,5,2,20,4,4,8,26,"Mid Career","High Income",Veteran
18,Male,Single,Yes,1,Travel_Rarely,"Research & Development",Bachelor,"Life Sciences",230,54,1420,25233,13,0,"Laboratory Technician",1,High,No,High,High,High,Better,Excellent,0,1,2,0,0,0,0,3,"Young Adult","Low Income","New Employee"
35,Male,Married,No,0,Travel_Rarely,Sales,Bachelor,Marketing,1232,96,8020,5100,15,2,"Sales Executive",3,High,No,High,Medium,High,Good,Excellent,12,0,3,11,9,6,9,16,"Early Career","High Income",Veteran
36,Male,Married,No,0,Travel_Frequently,"Research & Development",Master,"Life Sciences",566,81,3688,7122,18,2,"Laboratory Technician",1,"Very High",No,High,"Very High","Very High",Better,Excellent,4,4,2,1,0,0,0,18,"Mid Career","Mid Income","New Employee"
51,Male,Divorced,No,0,Travel_Rarely,"Research & Development",Bachelor,Medical,1302,84,5482,16321,18,1,"Manufacturing Director",2,Low,No,"Very High",Medium,"Very High",Better,Excellent,13,5,3,4,1,1,2,2,"Senior Employee","Mid Income","Early Tenure"
41,Male,Single,No,0,Travel_Rarely,Sales,Master,"Life Sciences",334,88,16015,15896,19,0,Manager,4,High,No,"Very High",Medium,Medium,Better,Excellent,22,1,2,22,10,0,4,2,"Mid Career","High Income",Veteran
18,Female,Single,No,0,Travel_Rarely,Sales,Bachelor,Medical,812,69,1200,9724,12,0,"Sales Representative",1,Medium,No,"Very High",High,Low,Better,Excellent,0,1,2,0,0,0,0,10,"Young Adult","Low Income","New Employee"
28,Male,Single,No,0,Travel_Rarely,"Research & Development",College,Medical,1476,68,5661,4824,19,0,"Healthcare Representative",2,"Very High",No,Medium,Low,High,Better,Excellent,9,0,2,8,3,0,7,16,"Early Career","Mid Income",Experienced
31,Male,Married,No,0,Travel_Rarely,Sales,Bachelor,"Technical Degree",218,100,6929,12241,11,1,"Sales Executive",2,"Very High",No,Medium,"Very High",Medium,Good,Excellent,10,4,3,8,7,7,7,7,"Early Career","Mid Income",Experienced
39,Male,Divorced,No,0,Travel_Rarely,"Research & Development",Bachelor,Medical,1132,48,9613,10942,17,3,"Healthcare Representative",3,"Very High",No,High,"Very High",Low,Good,Excellent,19,0,5,18,10,3,7,1,"Mid Career","High Income",Veteran
36,Female,Married,No,0,Non-Travel,"Research & Development",Master,"Life Sciences",1105,47,5674,6927,15,1,"Laboratory Technician",2,High,No,Medium,Medium,High,Better,Excellent,11,7,3,9,8,0,8,24,"Mid Career","Mid Income",Experienced
32,Male,Married,No,0,Travel_Rarely,Sales,Bachelor,"Life Sciences",906,91,5484,16985,14,1,"Sales Executive",2,Medium,No,"Very High",High,High,Good,Excellent,13,1,3,13,8,4,8,7,"Early Career","Mid Income",Veteran
38,Female,Married,No,0,Travel_Rarely,"Research & Development",College,"Life Sciences",849,81,12061,26707,17,1,"Research Director",3,Medium,No,Low,Medium,High,Better,Excellent,19,3,2,10,8,0,1,25,"Mid Career","High Income",Experienced
58,Male,Divorced,No,0,Non-Travel,"Research & Development",Master,"Life Sciences",390,32,5660,17056,13,1,"Healthcare Representative",2,Low,Yes,"Very High",High,"Very High",Better,Excellent,12,2,2,5,3,1,2,1,"Senior Employee","Mid Income","Early Tenure"
31,Male,Married,No,0,Travel_Rarely,"Research & Development",Master,"Technical Degree",691,86,4821,10077,12,1,"Research Scientist",1,High,Yes,High,"Very High",High,Better,Excellent,6,0,4,5,2,0,3,5,"Early Career","Mid Income","Early Tenure"
31,Male,Married,No,0,Travel_Rarely,"Human Resources",Bachelor,"Human Resources",106,62,6410,17822,12,0,"Human Resources",2,Medium,No,Low,Low,"Very High",Better,Excellent,9,3,1,2,2,1,0,2,"Early Career","Mid Income","New Employee"
45,Male,Divorced,No,0,Travel_Frequently,"Research & Development",Bachelor,"Life Sciences",1249,97,5210,20308,18,1,"Laboratory Technician",3,High,No,Low,Low,Low,Better,Excellent,24,1,2,24,9,9,11,7,"Mid Career","Mid Income",Veteran
31,Male,Divorced,No,0,Travel_Rarely,"Research & Development",Master,"Life Sciences",192,32,2695,7747,18,1,"Research Scientist",1,High,Yes,High,"Very High",Medium,Bad,Excellent,3,0,2,2,2,2,2,2,"Early Career","Low Income","New Employee"
33,Female,Married,No,0,Travel_Frequently,"Research & Development",Master,"Life Sciences",553,74,11878,23364,11,2,Manager,3,High,No,"Very High",Medium,Medium,Better,Excellent,12,6,2,10,6,8,8,5,"Early Career","High Income",Experienced
39,Male,Married,No,0,Travel_Rarely,"Research & Development","Below College",Medical,117,99,17068,5355,14,0,Manager,4,High,Yes,High,Low,"Very High",Better,Excellent,21,1,3,21,9,11,10,10,"Mid Career","High Income",Veteran
43,Female,Single,No,0,Travel_Frequently,"Research & Development",Master,"Life Sciences",185,33,2455,10675,19,0,"Laboratory Technician",1,High,No,High,"Very High",Low,Better,Excellent,9,0,5,8,7,1,7,10,"Mid Career","Low Income",Experienced
49,Female,Single,No,0,Travel_Rarely,"Research & Development",College,"Technical Degree",1091,90,13964,17810,12,0,"Healthcare Representative",4,Medium,Yes,High,High,"Very High",Better,Excellent,25,7,2,7,1,0,7,1,"Senior Employee","High Income",Experienced
52,Male,Married,Yes,1,Travel_Rarely,"Research & Development",Master,Medical,723,85,4941,17747,15,0,"Research Scientist",2,Medium,No,High,Medium,Low,Good,Excellent,11,2,3,8,2,7,7,8,"Senior Employee","Mid Income",Experienced
27,Female,Single,No,0,Travel_Rarely,"Research & Development",Bachelor,"Life Sciences",1220,85,2478,20938,12,0,"Research Scientist",1,High,Yes,High,Medium,Medium,Good,Excellent,4,1,2,4,3,1,2,5,"Early Career","Low Income","Early Tenure"
32,Female,Married,No,0,Travel_Rarely,Sales,College,"Technical Degree",588,65,5228,24624,11,0,"Sales Executive",2,Medium,Yes,High,Medium,"Very High",Better,Excellent,13,1,2,13,12,11,9,8,"Early Career","Mid Income",Veteran
27,Male,Single,No,0,Travel_Rarely,Sales,Bachelor,"Life Sciences",1377,74,4478,5242,11,0,"Sales Executive",2,High,Yes,"Very High",High,Low,Better,Excellent,5,1,3,5,4,0,4,2,"Early Career","Mid Income","Early Tenure"
31,Male,Divorced,No,0,Travel_Rarely,Sales,Bachelor,Marketing,691,73,7547,7143,12,3,"Sales Executive",2,High,No,"Very High","Very High","Very High",Better,Excellent,13,4,3,7,7,1,7,7,"Early Career","High Income",Experienced
32,Female,Single,No,0,Travel_Rarely,"Research & Development",Master,Medical,1018,74,5055,10557,16,0,"Research Scientist",2,"Very High",No,Low,"Very High",High,Good,Excellent,10,7,0,7,7,0,7,2,"Early Career","Mid Income",Experienced
28,Male,Married,Yes,1,Travel_Rarely,"Research & Development",Master,Medical,1157,84,3464,24737,13,0,"Research Scientist",1,Low,Yes,Low,"Very High","Very High",Good,Excellent,5,5,4,3,2,2,2,2,"Early Career","Mid Income","Early Tenure"
30,Female,Married,No,0,Travel_Rarely,"Research & Development",College,Medical,1275,64,5775,11934,13,2,"Research Scientist",2,High,No,"Very High","Very High","Very High",Better,Excellent,11,1,2,10,8,1,9,28,"Early Career","Mid Income",Experienced
31,Female,Married,No,0,Travel_Frequently,"Research & Development",College,"Life Sciences",798,48,8943,14034,24,1,"Manufacturing Director",3,Medium,No,High,High,Low,Better,Outstanding,10,1,2,10,9,8,9,7,"Early Career","High Income",Experienced
39,Male,Married,No,0,Travel_Frequently,"Research & Development",College,Medical,672,54,19272,21141,15,1,Manager,5,Medium,No,High,"Very High",Low,Better,Excellent,21,1,2,21,9,13,3,7,"Mid Career","High Income",Veteran
39,Female,Married,Yes,1,Travel_Rarely,Sales,College,Medical,1162,41,5238,17778,18,0,"Sales Executive",2,High,Yes,"Very High",High,Low,Good,Excellent,12,4,3,1,0,0,0,3,"Mid Career","Mid Income","New Employee"
33,Male,Single,No,0,Travel_Frequently,Sales,Bachelor,Marketing,508,46,4682,4317,14,0,"Sales Executive",2,Medium,No,Medium,"Very High",High,Good,Excellent,9,3,6,7,7,0,1,10,"Early Career","Mid Income",Experienced
47,Male,Married,No,0,Travel_Rarely,"Research & Development",Doctor,"Life Sciences",1482,42,18300,16375,11,1,"Research Director",5,High,No,"Very High",High,Medium,Better,Excellent,21,4,2,3,2,1,1,5,"Senior Employee","High Income","Early Tenure"
43,Female,Divorced,No,0,Travel_Frequently,"Research & Development",Master,"Life Sciences",559,82,5257,6227,11,1,"Laboratory Technician",2,Medium,No,High,High,Medium,Best,Excellent,9,1,3,9,7,0,0,10,"Mid Career","Mid Income",Experienced
27,Male,Married,No,0,Non-Travel,Sales,"Below College",Marketing,210,73,6349,22107,13,1,"Sales Executive",2,High,Yes,High,Medium,"Very High",Better,Excellent,6,0,0,5,4,1,4,1,"Early Career","Mid Income","Early Tenure"
54,Female,Single,No,0,Travel_Frequently,"Research & Development",Master,"Life Sciences",928,31,4869,16885,12,0,"Research Scientist",2,High,No,"Very High",High,"Very High",Good,Excellent,20,3,4,4,3,0,3,20,"Senior Employee","Mid Income","Early Tenure"
43,Female,Married,No,0,Travel_Rarely,"Research & Development",Bachelor,"Life Sciences",1001,43,9985,9262,16,1,"Healthcare Representative",3,High,No,High,Low,Low,Good,Excellent,10,8,1,1,0,0,0,7,"Mid Career","High Income","New Employee"
45,Male,Married,No,0,Travel_Rarely,"Research & Development",Master,Other,549,75,3697,9278,14,2,"Research Scientist",2,High,No,"Very High","Very High",Low,Better,Excellent,12,9,3,10,9,9,8,8,"Mid Career","Mid Income",Experienced
40,Male,Married,No,0,Travel_Rarely,Sales,College,Medical,1124,57,7457,13273,22,3,"Sales Executive",2,Low,Yes,Medium,"Very High",High,Good,Outstanding,6,2,2,4,3,0,2,1,"Mid Career","High Income","Early Tenure"
29,Male,Married,Yes,1,Travel_Rarely,"Research & Development",Master,Other,318,77,2119,4759,11,0,"Laboratory Technician",1,Low,Yes,Medium,Low,"Very High",Good,Excellent,7,1,4,7,7,0,7,8,"Early Career","Low Income",Experienced
29,Male,Single,No,0,Travel_Rarely,"Research & Development",Doctor,Other,738,30,3983,7621,17,0,"Laboratory Technician",1,Medium,No,Medium,"Very High",High,Better,Excellent,4,0,2,3,2,2,2,9,"Early Career","Mid Income","Early Tenure"
30,Female,Divorced,No,0,Travel_Rarely,Sales,Bachelor,Marketing,570,30,6118,5431,13,3,"Sales Executive",2,Medium,No,"Very High",High,High,Better,Excellent,10,1,2,10,9,1,2,5,"Early Career","Mid Income",Experienced
27,Female,Married,No,0,Travel_Rarely,Sales,Master,Marketing,1130,56,6214,3415,18,1,"Sales Executive",2,High,No,Medium,Medium,Low,Better,Excellent,8,1,3,8,7,0,7,8,"Early Career","Mid Income",Experienced
37,Male,Divorced,No,0,Travel_Rarely,"Research & Development",College,Medical,1192,61,6347,23177,16,2,"Manufacturing Director",2,High,No,"Very High","Very High",High,Good,Excellent,8,7,2,6,2,0,4,5,"Mid Career","Mid Income",Experienced
38,Male,Divorced,No,0,Travel_Rarely,"Research & Development",College,"Life Sciences",343,92,11510,15682,14,1,"Research Director",3,Medium,Yes,High,"Very High",Medium,Better,Excellent,12,0,3,11,10,2,9,15,"Mid Career","High Income",Veteran
31,Female,Single,No,0,Travel_Rarely,"Research & Development",Master,Medical,1232,39,7143,25713,14,0,"Manufacturing Director",3,High,Yes,High,"Very High",High,Good,Excellent,11,1,2,11,9,4,10,7,"Early Career","High Income",Veteran
29,Female,Divorced,No,0,Travel_Rarely,Sales,"Below College",Marketing,144,39,8268,11866,14,2,"Sales Executive",2,Medium,Yes,"Very High",Medium,Low,Better,Excellent,7,1,2,7,7,1,7,10,"Early Career","High Income",Experienced
35,Male,Single,No,0,Travel_Rarely,"Research & Development",Master,"Technical Degree",1296,62,8095,18264,13,0,"Manufacturing Director",3,High,No,High,Medium,"Very High",Better,Excellent,17,0,5,16,6,0,13,5,"Early Career","High Income",Veteran
23,Male,Divorced,No,0,Travel_Rarely,"Research & Development","Below College","Life Sciences",1309,83,2904,16092,12,2,"Research Scientist",1,High,No,High,"Very High",High,Good,Excellent,4,1,2,4,2,0,2,26,"Young Adult","Low Income","Early Tenure"
41,Male,Single,No,0,Travel_Rarely,"Research & Development",Bachelor,Medical,483,95,6032,10110,15,0,"Manufacturing Director",2,Medium,Yes,"Very High",Medium,"Very High",Better,Excellent,8,6,3,5,4,1,2,6,"Mid Career","Mid Income","Early Tenure"
47,Male,Single,No,0,Travel_Frequently,Sales,"Below College",Medical,1309,99,2976,25751,19,0,"Sales Representative",2,High,No,Medium,High,Low,Better,Excellent,5,3,3,0,0,0,0,4,"Senior Employee","Low Income","New Employee"
42,Female,Single,No,0,Travel_Rarely,"Research & Development",Doctor,"Life Sciences",810,44,15992,15901,14,0,"Research Director",4,High,No,Low,"Very High",Medium,Better,Excellent,16,2,2,1,0,0,0,23,"Mid Career","High Income","New Employee"
29,Male,Married,No,0,Non-Travel,Sales,Bachelor,"Life Sciences",746,61,4649,16928,14,1,"Sales Executive",2,High,No,"Very High",High,Low,Good,Excellent,4,1,3,4,3,0,2,2,"Early Career","Mid Income","Early Tenure"
42,Male,Divorced,No,0,Travel_Rarely,"Human Resources","Below College","Technical Degree",544,52,2696,24017,11,1,"Human Resources",1,High,Yes,High,High,High,Better,Excellent,4,0,5,3,2,1,0,2,"Mid Career","Low Income","Early Tenure"
32,Female,Married,No,0,Travel_Rarely,"Research & Development",Bachelor,Medical,1062,75,2370,3956,13,1,"Laboratory Technician",1,High,No,High,Medium,High,Better,Excellent,8,1,4,8,0,0,7,2,"Early Career","Low Income",Experienced
48,Female,Married,No,0,Travel_Rarely,Sales,"Below College",Medical,530,91,12504,23978,21,1,Manager,3,High,No,Low,High,Medium,Bad,Outstanding,15,3,3,0,0,0,0,29,"Senior Employee","High Income","New Employee"
37,Male,Divorced,No,0,Travel_Rarely,"Research & Development",Bachelor,Medical,1319,51,5974,17001,13,2,"Research Scientist",2,"Very High",Yes,High,Low,Low,Better,Excellent,13,4,2,7,7,6,7,6,"Mid Career","Mid Income",Experienced
30,Female,Married,No,0,Non-Travel,Sales,College,"Technical Degree",641,85,4736,6069,12,1,"Sales Executive",2,High,Yes,"Very High",High,Medium,Best,Excellent,4,7,2,2,2,2,2,25,"Early Career","Mid Income","New Employee"
26,Male,Married,No,0,Travel_Rarely,Sales,Bachelor,"Life Sciences",933,57,5296,20156,17,1,"Sales Executive",2,High,No,High,High,Medium,Better,Excellent,8,1,3,8,7,7,7,1,"Early Career","Mid Income",Experienced
42,Male,Single,No,0,Travel_Rarely,"Research & Development",Master,Other,1332,98,6781,17078,23,0,"Healthcare Representative",2,Medium,No,Low,"Very High",Medium,Better,Outstanding,14,3,6,1,0,0,0,2,"Mid Career","Mid Income","New Employee"
21,Female,Single,Yes,1,Travel_Frequently,Sales,"Below College","Technical Degree",756,99,2174,9150,11,0,"Sales Representative",1,Medium,Yes,Low,Medium,High,Better,Excellent,3,1,3,3,2,1,2,1,"Young Adult","Low Income","Early Tenure"
36,Female,Single,No,0,Non-Travel,Sales,Doctor,Medical,845,45,6653,15276,15,0,"Sales Executive",2,High,No,"Very High","Very High",Medium,Better,Excellent,7,4,6,1,0,0,0,1,"Mid Career","Mid Income","New Employee"
36,Male,Married,No,0,Travel_Frequently,Sales,Master,Medical,541,48,9699,7246,11,1,"Sales Executive",3,Medium,No,Low,"Very High",Low,Better,Excellent,16,4,2,13,9,1,12,3,"Mid Career","High Income",Veteran
57,Male,Married,No,0,Travel_Rarely,"Research & Development",Master,Medical,593,88,6755,2967,11,0,"Healthcare Representative",2,High,No,"Very High",High,High,Better,Excellent,15,2,2,3,2,1,2,1,"Senior Employee","Mid Income","Early Tenure"
40,Female,Married,No,0,Travel_Rarely,"Research & Development",Master,"Life Sciences",1171,46,2213,22495,13,1,"Laboratory Technician",1,"Very High",Yes,"Very High",High,High,Better,Excellent,10,3,3,7,7,1,7,10,"Mid Career","Low Income",Experienced
21,Male,Single,No,0,Non-Travel,Sales,College,Medical,895,39,2610,2851,24,0,"Sales Representative",1,High,No,Low,"Very High",High,Good,Outstanding,3,1,3,3,2,2,2,9,"Young Adult","Low Income","Early Tenure"
33,Female,Single,Yes,1,Travel_Rarely,Sales,Bachelor,Marketing,350,34,2851,9150,13,0,"Sales Representative",1,High,Yes,"Very High",High,Medium,Better,Excellent,1,1,2,1,0,0,0,5,"Early Career","Low Income","New Employee"
37,Female,Married,No,0,Travel_Rarely,"Research & Development",Bachelor,Medical,921,98,3452,17663,20,1,"Laboratory Technician",1,High,No,High,Low,Medium,Better,Outstanding,17,6,3,5,4,0,3,10,"Mid Career","Mid Income","Early Tenure"
46,Female,Married,No,0,Non-Travel,"Research & Development",Master,Medical,1144,30,5258,16044,14,0,"Manufacturing Director",2,High,No,High,High,High,Best,Excellent,7,2,2,1,0,0,0,7,"Senior Employee","Mid Income","New Employee"
41,Male,Single,Yes,1,Travel_Frequently,Sales,Bachelor,Marketing,143,56,9355,9558,18,0,"Sales Executive",2,High,No,Low,Medium,High,Better,Excellent,8,1,5,8,7,7,7,4,"Mid Career","High Income",Experienced
50,Male,Single,No,0,Travel_Rarely,"Research & Development",Bachelor,"Technical Degree",1046,100,10496,2755,15,0,"Healthcare Representative",3,Medium,No,"Very High","Very High","Very High",Better,Excellent,20,6,2,4,3,1,3,10,"Senior Employee","High Income","Early Tenure"
40,Male,Married,Yes,1,Travel_Rarely,Sales,College,Marketing,575,68,6380,6110,12,2,"Sales Executive",2,Medium,Yes,High,High,Low,Better,Excellent,8,2,6,6,4,1,0,22,"Mid Career","Mid Income",Experienced
31,Male,Single,No,0,Travel_Rarely,"Research & Development",Master,"Life Sciences",408,42,2657,7551,16,0,"Research Scientist",1,Medium,Yes,High,Medium,"Very High",Better,Excellent,3,0,5,2,2,2,2,9,"Early Career","Low Income","New Employee"
21,Female,Single,Yes,1,Travel_Rarely,Sales,Bachelor,"Life Sciences",156,90,2716,25422,15,0,"Sales Representative",1,"Very High",No,High,Medium,"Very High",Better,Excellent,1,1,0,1,0,0,0,12,"Young Adult","Low Income","New Employee"
29,Male,Single,No,0,Travel_Rarely,"Research & Development",Bachelor,"Life Sciences",1283,54,2201,18168,16,0,"Research Scientist",1,High,No,"Very High","Very High","Very High",Better,Excellent,6,9,4,3,2,1,2,23,"Early Career","Low Income","Early Tenure"
